Trace
Swept SA
A.33.03,N9020B
1225400000,1.72410726547241
1226500000,1.68522930145264
1227600000,1.70955574512482
1228700000,1.68831622600555
1229800000,1.68324530124664
1230900000,1.65465641021729
1232000000,1.63268196582794
1233100000,1.63349044322968
1234200000,1.61519062519073
1235300000,1.56969821453094
1236400000,1.56478726863861
1237500000,1.5638290643692
1238600000,1.54523241519928
1239700000,1.55309355258942
1240800000,1.53302705287933
1241900000,1.49973165988922
1243000000,1.51788187026978
1244100000,1.48238170146942
1245200000,1.46966457366943
1246300000,1.46797144412994
1247400000,1.45819401741028
1248500000,1.46532022953033
1249600000,1.43349468708038
1250700000,1.43327152729034
1251800000,1.43231332302094
1252900000,1.42988526821136
1254000000,1.45464992523193
1255100000,1.42355942726135
1256200000,1.42260122299194
1257300000,1.42017316818237
1258400000,1.4140704870224
1259500000,1.4160521030426
1260600000,1.42979264259338
1261700000,1.41119599342346
1262800000,1.43375587463379
1263900000,1.4357373714447
1265000000,1.42963469028473
1266100000,1.41691756248474
1267200000,1.44388699531555
1268300000,1.43484449386597
1269400000,1.45519959926605
1270500000,1.42925357818604
1271600000,1.45181334018707
1272700000,1.4457106590271
1273800000,1.4374030828476
1274900000,1.4283607006073
1276000000,1.44283616542816
1277100000,1.44555270671844
1278200000,1.46664261817932
1279300000,1.42452800273895
1280400000,1.44194328784943
1281500000,1.43584060668945
1282600000,1.44958114624023
1283700000,1.4493579864502
1284800000,1.44986963272095
1285900000,1.45111632347107
1287000000,1.43986904621124
1288100000,1.42568206787109
1289200000,1.44162738323212
1290300000,1.41935610771179
1291400000,1.44003355503082
1292500000,1.41920030117035
1293600000,1.42335474491119
1294700000,1.42236471176147
1295800000,1.42578434944153
1296900000,1.41009557247162
1298000000,1.42747890949249
1299100000,1.41546475887299
1300200000,1.4093302488327
1301300000,1.38555717468262
1302400000,1.39485621452332
1303500000,1.36740839481354
1304600000,1.3884664773941
1305700000,1.36689829826355
1306800000,1.36149859428406
1307900000,1.35315918922424
1309000000,1.33526563644409
1310100000,1.30855274200439
1311200000,1.31417715549469
1312300000,1.27717518806458
1313400000,1.28720927238464
1314500000,1.27372527122498
1315600000,1.26538586616516
1316700000,1.2621910572052
1317800000,1.23621308803558
1318900000,1.23359847068787
1320000000,1.20796120166779
1321100000,1.22127556800842
1322200000,1.1971081495285
1323300000,1.1722058057785
1324400000,1.158327460289
1325500000,1.15400338172913
1326600000,1.16143822669983
1327700000,1.11669254302979
1328800000,1.12780213356018
1329900000,1.13303220272064
1331000000,1.10739493370056
1332100000,1.07587814331055
1333200000,1.09507203102112
1334300000,1.07604908943176
1335400000,1.04894196987152
1336500000,1.06960570812225
1337600000,1.06661462783813
1338700000,1.02996861934662
1339800000,1.0440331697464
1340900000,1.01547145843506
1342000000,1.01410233974457
1343100000,1.02596211433411
1344200000,1.00254487991333
1345300000,1.00191080570221
1346400000,1.03287887573242
1347500000,1.0146062374115
1348600000,1.00441789627075
1349700000,0.995699405670166
1350800000,1.01196885108948
1351900000,0.998105823993683
1353000000,1.00629091262817
1354100000,1.02549993991852
1355200000,1.00943219661713
1356300000,1.0381954908371
1357400000,1.04932034015656
1358500000,1.05603551864624
1359600000,1.03335320949554
1360700000,1.04962265491486
1361800000,1.03943431377411
1362900000,1.04394471645355
1364000000,1.08667182922363
1365100000,1.08971226215363
1366200000,1.07217454910278
1367300000,1.07668495178223
1368400000,1.10030376911163
1369500000,1.07394683361053
1370600000,1.10124015808105
1371700000,1.08884704113007
1372800000,1.12569463253021
1373900000,1.11918103694916
1375000000,1.12001669406891
1376100000,1.12379217147827
1377200000,1.15182054042816
1378300000,1.14530694484711
1379400000,1.13217878341675
1380500000,1.16682159900665
1381600000,1.15222370624542
1382700000,1.16177535057068
1383800000,1.16235876083374
1384900000,1.17617106437683
1386000000,1.14368236064911
1387100000,1.15381991863251
1388200000,1.16175270080566
1389300000,1.17482995986938
1390400000,1.18496751785278
1391500000,1.18187630176544
1392600000,1.17878496646881
1393700000,1.15364563465118
1394800000,1.17848193645477
1395900000,1.15554738044739
1397000000,1.15392601490021
1398100000,1.17582249641418
1399200000,1.15362286567688
1400300000,1.17698931694031
1401400000,1.13862109184265
